,datetime,averageValenceScore
0,2,0.205
1,3,0.328
2,5,0.5456000000000001
3,6,0.5578620689655173
4,7,0.3736265625
5,8,0.4366702508960574
6,9,0.4007258799171843
7,10,0.3889550669216061
8,11,0.44040495283018866
9,12,0.39455848670756644
10,13,0.36264426605504585
11,14,0.36324525139664804
12,15,0.4062836111111111
13,16,0.43643333333333334
14,17,0.42238277511961725
15,18,0.40122479338842976
16,19,0.4312525925925926
17,20,0.4502268292682927
18,21,0.36795443037974684
19,22,0.4775714285714286
20,23,0.538
