,datetime,averageDanceabilityScore
0,0,0.3616384615384615
1,1,0.2702483870967742
2,2,0.1724541666666667
3,3,0.15248695652173913
4,4,0.23214285714285715
5,5,0.6241333333333333
6,6,0.6264000000000001
7,7,0.6229436619718309
8,8,0.5733944055944056
9,9,0.5670872881355933
10,10,0.5353945945945946
11,11,0.5425890410958905
12,12,0.5549290196078431
13,13,0.5901339285714287
14,14,0.5458336492890995
15,15,0.5895593220338983
16,16,0.5624274509803922
17,17,0.6043516129032258
18,18,0.5467005347593583
19,19,0.5878429319371729
20,20,0.5860901639344263
21,21,0.6030882352941176
22,22,0.46177500000000005
23,23,0.3670145454545455
