,datetime,averageDanceabilityScore
0,0,0.5356989247311827
1,1,0.5415979381443299
2,2,0.5472705882352942
3,3,0.6085254237288136
4,4,0.5498108108108108
5,5,0.5653238095238096
6,6,0.5926453488372093
7,7,0.5632290249433106
8,8,0.5781466666666667
9,9,0.5588103386809269
10,10,0.5278235294117647
11,11,0.5588640552995392
12,12,0.5446274774774775
13,13,0.5366294536817102
14,14,0.5540408783783785
15,15,0.5624012158054711
16,16,0.5410534124629081
17,17,0.5771030534351145
18,18,0.5386429245283019
19,19,0.5395632183908046
20,20,0.5873189655172414
21,21,0.6205409836065574
22,22,0.5622432432432433
23,23,0.531759493670886
