,datetime,trackCount
0,0,26
1,1,4
2,2,10
3,5,29
4,6,41
5,7,86
6,8,102
7,9,141
8,10,168
9,11,145
10,12,150
11,13,144
12,14,135
13,15,158
14,16,189
15,17,216
16,18,166
17,19,86
18,20,71
19,21,57
20,22,36
21,23,22
