,datetime,trackCount
0,0,93
1,1,97
2,2,85
3,3,59
4,4,37
5,5,105
6,6,344
7,7,441
8,8,450
9,9,561
10,10,527
11,11,434
12,12,444
13,13,421
14,14,296
15,15,329
16,16,337
17,17,262
18,18,212
19,19,174
20,20,116
21,21,122
22,22,74
23,23,79
