,datetime,averageValenceScore
0,0,0.4701784946236559
1,1,0.4606567010309279
2,2,0.43414823529411767
3,3,0.4774915254237288
4,4,0.5020513513513514
5,5,0.5130161904761905
6,6,0.5219575581395349
7,7,0.5018328798185941
8,8,0.49189666666666665
9,9,0.5010798573975044
10,10,0.4651345351043643
11,11,0.48052649769585254
12,12,0.4743439189189189
13,13,0.49752636579572446
14,14,0.5020969594594594
15,15,0.51160273556231
16,16,0.4778237388724036
17,17,0.5214896183206107
18,18,0.4833443396226415
19,19,0.46525459770114946
20,20,0.49253793103448273
21,21,0.5266918032786885
22,22,0.5285351351351352
23,23,0.4867481012658228
