,datetime,trackCount
0,2,1
1,3,3
2,5,5
3,6,29
4,7,128
5,8,279
6,9,483
7,10,523
8,11,424
9,12,489
10,13,436
11,14,358
12,15,360
13,16,288
14,17,209
15,18,121
16,19,135
17,20,123
18,21,79
19,22,14
20,23,1
