,datetime,trackCount
0,7,4
1,8,2
2,9,9
3,10,72
4,11,66
5,12,65
6,13,10
7,14,9
8,15,51
9,16,141
10,17,128
11,18,104
12,19,112
13,20,73
14,21,65
15,22,30
16,23,27
