,datetime,averageValenceScore
0,0,0.26647692307692306
1,1,0.11261290322580646
2,2,0.0869125
3,3,0.07666956521739131
4,4,0.14197142857142858
5,5,0.49439999999999995
6,6,0.4075866666666667
7,7,0.47347605633802814
8,8,0.3898426573426574
9,9,0.39896228813559326
10,10,0.3885675675675676
11,11,0.35964840182648405
12,12,0.4019533333333334
13,13,0.4307396428571429
14,14,0.3463331753554503
15,15,0.3828957627118644
16,16,0.39383856209150325
17,17,0.4760650537634409
18,18,0.39529946524064175
19,19,0.4400801047120419
20,20,0.39210409836065574
21,21,0.40546176470588235
22,22,0.3558789473684211
23,23,0.23476545454545455
