,datetime,averageValenceScore
0,0,0.3633653846153846
1,1,0.22044999999999998
2,2,0.051239999999999994
3,5,0.21078620689655173
4,6,0.2253951219512195
5,7,0.1908825581395349
6,8,0.1313343137254902
7,9,0.1912709219858156
8,10,0.26980595238095234
9,11,0.2764248275862069
10,12,0.23982733333333334
11,13,0.2787118055555556
12,14,0.36498148148148146
13,15,0.42548924050632914
14,16,0.40653597883597886
15,17,0.453075
16,18,0.3442042168674699
17,19,0.4277406976744186
18,20,0.3393169014084507
19,21,0.32967543859649123
20,22,0.3565361111111111
21,23,0.25375909090909093
