,datetime,averageDanceabilityScore
0,0,0.4732772413793104
1,1,0.47588046875
2,2,0.46625363636363637
3,3,0.4881670588235294
4,4,0.49927272727272726
5,5,0.572696
6,6,0.5956494845360825
7,7,0.5819503105590063
8,8,0.5859409610983981
9,9,0.5752724592707525
10,10,0.5638586840091814
11,11,0.5789732283464567
12,12,0.5748136472466081
13,13,0.5689621621621622
14,14,0.5621133867276888
15,15,0.5926550116550117
16,16,0.5935224156692056
17,17,0.6053661146496815
18,18,0.5770629807692308
19,19,0.5895519607843137
20,20,0.6128341013824885
21,21,0.616745508982036
22,22,0.5461335051546392
23,23,0.4789244239631336
