,datetime,trackCount
0,0,171
1,1,132
2,2,120
3,3,85
4,4,44
5,5,154
6,6,429
7,7,730
8,8,976
9,9,1430
10,10,1475
11,11,1288
12,12,1403
13,13,1291
14,14,1009
15,15,1016
16,16,1108
17,17,1001
18,18,790
19,19,698
20,20,505
21,21,391
22,22,230
23,23,239
