,endTime,artistName,trackName,msPlayed,danceability,valenceScore,artistGenres,minutesPlayed
221,2022-03-24 18:27,Ryuichi Sakamoto,Ieta,101417,0.581,0.155,"['compositional ambient', 'japanese classical', 'japanese contemporary classical', 'japanese soundtrack']",1.6902833333333334
222,2022-03-24 18:30,KIDD,10 Dage,149728,0.802,0.928,"['danish hip hop', 'danish pop']",2.4954666666666667
223,2022-03-24 18:33,Ryuichi Sakamoto,Ieta,199784,0.581,0.155,"['compositional ambient', 'japanese classical', 'japanese contemporary classical', 'japanese soundtrack']",3.3297333333333334
224,2022-03-24 18:48,Loure,Mutual Motion,374085,0.706,0.139,['No genre information available'],6.23475
225,2022-03-24 19:33,Oscar Jerome,No Need - Extended Mix,359876,0.869,0.596,"['indie jazz', 'indie soul', 'uk contemporary jazz']",5.997933333333333
226,2022-03-24 19:35,KIDD,10 Dage,149728,0.802,0.928,"['danish hip hop', 'danish pop']",2.4954666666666667
227,2022-03-24 19:38,Ryuichi Sakamoto,Ieta,106,0.581,0.155,"['compositional ambient', 'japanese classical', 'japanese contemporary classical', 'japanese soundtrack']",0.0017666666666666666
228,2022-03-24 19:42,KIDD,10 Dage,19655,0.802,0.928,"['danish hip hop', 'danish pop']",0.32758333333333334
229,2022-03-24 19:46,Skinshape,Breathe,31594,0.661,0.373,['psychedelic soul'],0.5265666666666666
230,2022-03-24 19:52,Stefano Bollani,Den Allersidste Dans,378064,0.527,0.549,"['italian contemporary jazz', 'italian jazz', 'modern jazz piano']",6.301066666666666
231,2022-03-24 20:04,Stefano Bollani,Armband,353515,0.371,0.7,"['italian contemporary jazz', 'italian jazz', 'modern jazz piano']",5.891916666666667
232,2022-03-24 20:05,Stefano Bollani,Dansen Og,37644,0.271,0.312,"['italian contemporary jazz', 'italian jazz', 'modern jazz piano']",0.6274
233,2022-03-25 17:57,Dumbo Gets Mad,Indian Food,0,0.561,0.634,"['indie garage rock', 'neo-psychedelic', 'psychedelic pop']",0.0
234,2022-03-25 18:00,Ryuichi Sakamoto,Ieta,19138,0.581,0.155,"['compositional ambient', 'japanese classical', 'japanese contemporary classical', 'japanese soundtrack']",0.3189666666666667
235,2022-03-25 18:06,Oscar Jerome,No Need - Extended Mix,362917,0.869,0.596,"['indie jazz', 'indie soul', 'uk contemporary jazz']",6.048616666666667
236,2022-03-25 18:07,Missing Persons,Words,0,0.751,0.695,"['new romantic', 'new wave', 'new wave pop', 'synthpop']",0.0
237,2022-03-25 18:12,Empire of the Sun,We Are The People - Shazam Remix,344460,0.801,0.618,"['australian dance', 'australian electropop', 'dance rock', 'indietronica', 'neo-synthpop']",5.741
238,2022-03-25 18:21,Moomin,Fruits,216202,0.745,0.345,['float house'],3.6033666666666666
239,2022-03-25 18:26,Tour-Maubourg,Interdub,318097,0.801,0.204,['jazz house'],5.301616666666667
240,2022-03-25 18:33,Kevin Yost,On My Way,383502,0.721,0.817,"['deep funk house', 'deep house']",6.3917
241,2022-03-25 18:39,Kevin Yost,One Starry Night,402371,0.664,0.354,"['deep funk house', 'deep house']",6.706183333333334
